created_at,TextPivot,Count of Number of Records
7/3/2020,Health,713
7/3/2020,hands,1439
7/3/2020,hand,932
7/3/2020,global,532
7/3/2020,getting,786
7/3/2020,flu,967
7/3/2020,face,623
7/3/2020,deaths,1013
7/3/2020,death,859
7/3/2020,crisis,586
7/3/2020,confirmed,1487
7/3/2020,cases,4485
7/3/2020,case,1531
7/3/2020,care,912
8/3/2020,weeks,792
8/3/2020,wash,687
8/3/2020,virus,2638
8/3/2020,testing,1153
8/3/2020,tested,1157
8/3/2020,test,1334
8/3/2020,stop,1105
8/3/2020,stay,697
8/3/2020,spreading,642
8/3/2020,spread,2116
8/3/2020,sick,871
8/3/2020,safe,618
8/3/2020,risk,991
8/3/2020,response,816
8/3/2020,rate,687
8/3/2020,quarantine,1013
8/3/2020,public,1229
8/3/2020,positive,1221
8/3/2020,patients,694
8/3/2020,pandemic,650
8/3/2020,outbreak,1508
8/3/2020,number,913
8/3/2020,medical,643
8/3/2020,information,637
8/3/2020,infected,1026
8/3/2020,health,1974
8/3/2020,Health,759
8/3/2020,hands,1588
8/3/2020,hand,1066
8/3/2020,global,519
8/3/2020,getting,819
8/3/2020,flu,927
8/3/2020,face,512
8/3/2020,deaths,1545
8/3/2020,death,1141
8/3/2020,crisis,713
8/3/2020,confirmed,1492
8/3/2020,cases,4746
8/3/2020,case,1476
8/3/2020,care,1053
9/3/2020,weeks,924
9/3/2020,wash,798
9/3/2020,virus,3420
9/3/2020,testing,1196
9/3/2020,tested,1332
9/3/2020,test,1223
9/3/2020,stop,1338
9/3/2020,stay,1060
9/3/2020,spreading,795
9/3/2020,spread,2495
9/3/2020,sick,1165
9/3/2020,safe,1010
9/3/2020,risk,983
9/3/2020,response,1231
9/3/2020,rate,804
9/3/2020,quarantine,1056
9/3/2020,public,1619
9/3/2020,positive,1478
9/3/2020,patients,812
9/3/2020,pandemic,1120
9/3/2020,outbreak,2005
9/3/2020,number,1017
9/3/2020,medical,689
9/3/2020,information,899
9/3/2020,infected,1145
9/3/2020,health,2392
9/3/2020,Health,986
9/3/2020,hands,1864
9/3/2020,hand,1250
9/3/2020,global,912
9/3/2020,getting,1117
9/3/2020,flu,1463
9/3/2020,face,724
9/3/2020,deaths,1180
9/3/2020,death,856
9/3/2020,crisis,928
9/3/2020,confirmed,1742
9/3/2020,cases,5120
9/3/2020,case,1459
9/3/2020,care,1168
10/3/2020,weeks,1098
10/3/2020,wash,878
10/3/2020,virus,3692
10/3/2020,testing,1451
10/3/2020,tested,1582
10/3/2020,test,1193
10/3/2020,stop,1645
10/3/2020,stay,1230
10/3/2020,spreading,769
10/3/2020,spread,3135
10/3/2020,sick,1269
10/3/2020,safe,1117
10/3/2020,risk,1270
10/3/2020,response,1376
10/3/2020,rate,786
10/3/2020,quarantine,892
10/3/2020,public,1833
10/3/2020,positive,1415
10/3/2020,patients,912
10/3/2020,pandemic,1034
10/3/2020,outbreak,2393
10/3/2020,number,1032
10/3/2020,medical,936
10/3/2020,information,1094
10/3/2020,infected,1206
10/3/2020,health,2951
10/3/2020,Health,1198
10/3/2020,hands,1958
10/3/2020,hand,1262
10/3/2020,global,815
10/3/2020,getting,1214
10/3/2020,flu,1427
10/3/2020,face,874
10/3/2020,deaths,1175
10/3/2020,death,1031
10/3/2020,crisis,1102
10/3/2020,confirmed,1707
10/3/2020,cases,5180
10/3/2020,case,1528
10/3/2020,care,1412
11/3/2020,weeks,1257
11/3/2020,virus,3700
11/3/2020,testing,1912
11/3/2020,tested,1588
11/3/2020,test,1572
11/3/2020,support,873
11/3/2020,stop,1573
11/3/2020,stay,1213
11/3/2020,spread,3168
11/3/2020,social,866
11/3/2020,sick,1522
11/3/2020,safe,1179
11/3/2020,risk,1146
11/3/2020,response,1708
11/3/2020,public,1976
11/3/2020,positive,1596
11/3/2020,pandemic,3227
11/3/2020,outbreak,2735
11/3/2020,information,1167
11/3/2020,Health,1769
11/3/2020,health,3069
11/3/2020,hands,1905
11/3/2020,getting,1343
11/3/2020,fight,1286
11/3/2020,crisis,1212
11/3/2020,confirmed,1760
11/3/2020,cases,5284
11/3/2020,case,1586
11/3/2020,care,1533
12/3/2020,weeks,1083
12/3/2020,virus,2725
12/3/2020,testing,1321
12/3/2020,tested,1554
12/3/2020,test,1121
12/3/2020,support,519
12/3/2020,stop,1138
12/3/2020,stay,1096
12/3/2020,spread,2127
12/3/2020,social,775
12/3/2020,sick,1025
12/3/2020,safe,1092
12/3/2020,risk,769
12/3/2020,response,1170
12/3/2020,public,1522
12/3/2020,positive,1645
12/3/2020,pandemic,1823
12/3/2020,outbreak,1338
12/3/2020,information,740
12/3/2020,Health,833
12/3/2020,health,2066
12/3/2020,hands,1219
12/3/2020,getting,1136
12/3/2020,fight,757
12/3/2020,crisis,951
12/3/2020,confirmed,978
12/3/2020,cases,2616
12/3/2020,case,931
12/3/2020,care,1142
13/3/2020,weeks,1598
13/3/2020,virus,3960
13/3/2020,testing,2131
13/3/2020,tested,2326
13/3/2020,test,1744
13/3/2020,support,1080
13/3/2020,stop,1617
13/3/2020,stay,1549
13/3/2020,spread,2834
13/3/2020,social,1125
13/3/2020,sick,1238
13/3/2020,safe,1835
13/3/2020,risk,1174
13/3/2020,response,1810
13/3/2020,public,1970
13/3/2020,positive,2185
13/3/2020,pandemic,2516
13/3/2020,outbreak,1751
13/3/2020,information,1123
13/3/2020,Health,953
13/3/2020,health,2901
13/3/2020,hands,1814
13/3/2020,getting,1489
13/3/2020,fight,1134
13/3/2020,crisis,1407
13/3/2020,confirmed,1301
13/3/2020,cases,3411
13/3/2020,case,1476
13/3/2020,care,1565
14/3/2020,weeks,1461
14/3/2020,virus,3736
14/3/2020,testing,1687
14/3/2020,tested,1898
14/3/2020,test,1821
14/3/2020,support,1236
14/3/2020,stop,1710
14/3/2020,stay,1757
14/3/2020,spread,2750
14/3/2020,social,1489
14/3/2020,sick,1217
14/3/2020,safe,2055
14/3/2020,risk,1332
14/3/2020,response,1648
14/3/2020,public,1911
14/3/2020,positive,1555
14/3/2020,pandemic,2589
14/3/2020,outbreak,1514
14/3/2020,information,913
14/3/2020,Health,1000
14/3/2020,health,2710
14/3/2020,hands,1736
14/3/2020,getting,1326
14/3/2020,fight,1577
14/3/2020,crisis,1467
14/3/2020,confirmed,1234
14/3/2020,cases,3716
14/3/2020,case,1349
14/3/2020,care,1694
15/3/2020,weeks,1126
15/3/2020,virus,2443
15/3/2020,testing,1297
15/3/2020,tested,1061
15/3/2020,test,949
15/3/2020,support,773
15/3/2020,stop,1252
15/3/2020,stay,1396
15/3/2020,spread,2351
15/3/2020,social,1610
15/3/2020,sick,797
15/3/2020,safe,1132
15/3/2020,risk,918
15/3/2020,response,994
15/3/2020,public,1357
15/3/2020,positive,1057
15/3/2020,pandemic,1635
15/3/2020,outbreak,998
15/3/2020,information,744
15/3/2020,Health,698
15/3/2020,health,1950
15/3/2020,hands,882
15/3/2020,getting,892
15/3/2020,fight,1061
15/3/2020,crisis,1084
15/3/2020,confirmed,978
15/3/2020,cases,3073
15/3/2020,case,851
15/3/2020,care,1193
16/3/2020,weeks,2113
16/3/2020,virus,3357
16/3/2020,testing,1840
16/3/2020,tested,1493
16/3/2020,test,1619
16/3/2020,support,1813
16/3/2020,stop,1940
16/3/2020,stay,2629
16/3/2020,spread,3543
16/3/2020,social,2458
16/3/2020,sick,1081
16/3/2020,safe,2259
16/3/2020,risk,1399
16/3/2020,response,1904
16/3/2020,public,2055
16/3/2020,positive,1681
16/3/2020,pandemic,2970
16/3/2020,outbreak,1957
16/3/2020,information,1438
16/3/2020,Health,1162
16/3/2020,health,3283
16/3/2020,hands,1236
16/3/2020,getting,1466
16/3/2020,fight,1489
16/3/2020,crisis,2193
16/3/2020,confirmed,1326
16/3/2020,cases,4150
16/3/2020,case,1233
16/3/2020,care,1991
11/3/2020,weeks,1184
11/3/2020,virus,3648
11/3/2020,testing,1831
11/3/2020,tested,1487
11/3/2020,test,1476
11/3/2020,support,786
11/3/2020,stop,1632
11/3/2020,stay,1188
11/3/2020,spread,2973
11/3/2020,social,877
11/3/2020,sick,1371
11/3/2020,safe,1139
11/3/2020,risk,1186
11/3/2020,response,1587
11/3/2020,public,1963
11/3/2020,positive,1580
11/3/2020,pandemic,2268
11/3/2020,outbreak,2260
11/3/2020,information,1121
11/3/2020,health,2968
11/3/2020,hands,1813
11/3/2020,getting,1366
11/3/2020,fight,1263
11/3/2020,crisis,1161
11/3/2020,confirmed,1711
11/3/2020,cases,4969
11/3/2020,case,1581
11/3/2020,care,1541
12/3/2020,weeks,1428
12/3/2020,virus,3867
12/3/2020,testing,1914
12/3/2020,tested,2580
12/3/2020,test,1712
12/3/2020,support,747
12/3/2020,stop,1588
12/3/2020,stay,1439
12/3/2020,spread,2861
12/3/2020,social,1044
12/3/2020,sick,1379
12/3/2020,safe,1480
12/3/2020,risk,1083
12/3/2020,response,1600
12/3/2020,public,1840
12/3/2020,positive,3043
12/3/2020,pandemic,2467
12/3/2020,outbreak,1788
12/3/2020,information,959
12/3/2020,health,2607
12/3/2020,hands,1535
12/3/2020,getting,1608
12/3/2020,fight,1128
12/3/2020,crisis,1237
12/3/2020,confirmed,1310
12/3/2020,cases,3791
12/3/2020,case,1191
12/3/2020,care,1601
13/3/2020,weeks,1640
13/3/2020,virus,4281
13/3/2020,testing,2171
13/3/2020,tested,2824
13/3/2020,test,1905
13/3/2020,support,1194
13/3/2020,stop,1710
13/3/2020,stay,1699
13/3/2020,spread,3129
13/3/2020,social,1157
13/3/2020,sick,1260
13/3/2020,safe,1924
13/3/2020,risk,1271
13/3/2020,response,1893
13/3/2020,public,2140
13/3/2020,positive,2692
13/3/2020,pandemic,2617
13/3/2020,outbreak,1953
13/3/2020,information,1195
13/3/2020,health,2997
13/3/2020,hands,1785
13/3/2020,getting,1551
13/3/2020,fight,1204
13/3/2020,crisis,1629
13/3/2020,confirmed,1529
13/3/2020,cases,3690
13/3/2020,case,1739
13/3/2020,care,1736
14/3/2020,weeks,930
14/3/2020,virus,2354
14/3/2020,testing,1107
14/3/2020,tested,1133
14/3/2020,test,1074
14/3/2020,support,821
14/3/2020,stop,1059
14/3/2020,stay,1021
14/3/2020,spread,1778
14/3/2020,social,909
14/3/2020,sick,741
14/3/2020,safe,1262
14/3/2020,risk,886
14/3/2020,response,1053
14/3/2020,public,1208
14/3/2020,positive,951
14/3/2020,pandemic,1585
14/3/2020,outbreak,1065
14/3/2020,information,663
14/3/2020,health,1774
14/3/2020,hands,1137
14/3/2020,getting,906
14/3/2020,fight,938
14/3/2020,crisis,845
14/3/2020,confirmed,871
14/3/2020,cases,2517
14/3/2020,case,865
14/3/2020,care,1109
15/3/2020,weeks,1364
15/3/2020,virus,3241
15/3/2020,testing,1491
15/3/2020,tested,1349
15/3/2020,test,1247
15/3/2020,support,899
15/3/2020,stop,1545
15/3/2020,stay,1638
15/3/2020,spread,2891
15/3/2020,social,2068
15/3/2020,sick,960
15/3/2020,safe,1527
15/3/2020,risk,1114
15/3/2020,response,1215
15/3/2020,public,1694
15/3/2020,positive,1311
15/3/2020,pandemic,2029
15/3/2020,outbreak,1215
15/3/2020,information,860
15/3/2020,health,2232
15/3/2020,hands,1055
15/3/2020,getting,1131
15/3/2020,fight,1327
15/3/2020,crisis,1255
15/3/2020,confirmed,1214
15/3/2020,cases,3873
15/3/2020,case,1112
15/3/2020,care,1376
16/3/2020,weeks,1644
16/3/2020,virus,3079
16/3/2020,testing,1546
16/3/2020,tested,1286
16/3/2020,test,1344
16/3/2020,support,1486
16/3/2020,stop,1627
16/3/2020,stay,2296
16/3/2020,spread,3032
16/3/2020,social,1998
16/3/2020,sick,915
16/3/2020,safe,2032
16/3/2020,risk,1216
16/3/2020,response,1628
16/3/2020,public,1854
16/3/2020,positive,1324
16/3/2020,pandemic,2571
16/3/2020,outbreak,1865
16/3/2020,information,1213
16/3/2020,health,2910
16/3/2020,hands,1086
16/3/2020,getting,1236
16/3/2020,fight,1338
16/3/2020,crisis,1811
16/3/2020,confirmed,1193
16/3/2020,cases,3785
16/3/2020,case,1100
16/3/2020,care,1737
11/3/2020,weeks,687
11/3/2020,virus,2234
11/3/2020,testing,1076
11/3/2020,tested,933
11/3/2020,test,855
11/3/2020,stop,964
11/3/2020,stay,801
11/3/2020,spread,1822
11/3/2020,social,568
11/3/2020,sick,794
11/3/2020,safe,720
11/3/2020,risk,714
11/3/2020,response,953
11/3/2020,public,1192
