created_at,TextPivot,Count of Number of Records
19/3/2020,test,950
19/3/2020,state,756
19/3/2020,right,1615
19/3/2020,news,1191
19/3/2020,government,1245
19/3/2020,@realDonaldTrump,1466
20/3/2020,world,1235
20/3/2020,US,849
20/3/2020,Trump,928
20/3/2020,testing,687
20/3/2020,tested,677
20/3/2020,test,603
20/3/2020,state,662
20/3/2020,right,1105
20/3/2020,news,769
20/3/2020,government,846
20/3/2020,@realDonaldTrump,985
21/3/2020,world,1458
21/3/2020,US,1003
21/3/2020,Trump,1274
21/3/2020,testing,898
21/3/2020,tested,725
21/3/2020,test,843
21/3/2020,state,605
21/3/2020,right,1187
21/3/2020,news,828
21/3/2020,government,885
21/3/2020,@realDonaldTrump,1309
22/3/2020,world,1733
22/3/2020,US,1219
22/3/2020,Trump,1337
22/3/2020,testing,940
22/3/2020,tested,1109
22/3/2020,test,1076
22/3/2020,state,1060
22/3/2020,right,1453
22/3/2020,news,844
22/3/2020,government,1153
22/3/2020,@realDonaldTrump,1885
23/3/2020,world,2351
23/3/2020,US,1377
23/3/2020,Trump,1888
23/3/2020,testing,1162
23/3/2020,tested,1014
23/3/2020,test,1118
23/3/2020,state,1219
23/3/2020,right,2085
23/3/2020,news,1275
23/3/2020,government,1627
23/3/2020,@realDonaldTrump,2454
24/3/2020,world,1929
24/3/2020,US,1282
24/3/2020,Trump,1801
24/3/2020,testing,936
24/3/2020,tested,735
24/3/2020,test,857
24/3/2020,state,1008
24/3/2020,right,1765
24/3/2020,news,1035
24/3/2020,government,1290
24/3/2020,@realDonaldTrump,2287
17/3/2020,world,1251
17/3/2020,US,857
17/3/2020,Trump,936
17/3/2020,testing,867
17/3/2020,tested,657
17/3/2020,test,790
17/3/2020,state,571
17/3/2020,right,1118
17/3/2020,news,873
17/3/2020,government,1058
17/3/2020,@realDonaldTrump,1172
18/3/2020,world,1964
18/3/2020,US,1307
18/3/2020,Trump,1434
18/3/2020,testing,1187
18/3/2020,tested,899
18/3/2020,test,973
18/3/2020,state,774
18/3/2020,right,1646
18/3/2020,news,1355
18/3/2020,government,1363
18/3/2020,@realDonaldTrump,1825
19/3/2020,world,1236
19/3/2020,US,712
19/3/2020,Trump,753
19/3/2020,testing,620
19/3/2020,tested,506
19/3/2020,test,514
19/3/2020,state,516
19/3/2020,right,1070
19/3/2020,news,658
19/3/2020,government,724
19/3/2020,@realDonaldTrump,874
20/3/2020,world,2449
20/3/2020,US,1545
20/3/2020,Trump,1775
20/3/2020,testing,1377
20/3/2020,tested,1181
20/3/2020,test,1194
20/3/2020,state,1161
20/3/2020,right,2202
20/3/2020,news,1361
20/3/2020,government,1682
20/3/2020,@realDonaldTrump,1802
21/3/2020,world,1157
21/3/2020,US,739
21/3/2020,Trump,873
21/3/2020,testing,646
21/3/2020,tested,529
21/3/2020,test,625
21/3/2020,state,505
21/3/2020,right,845
21/3/2020,news,591
21/3/2020,government,731
21/3/2020,@realDonaldTrump,922
22/3/2020,world,2323
22/3/2020,US,1722
22/3/2020,Trump,1581
22/3/2020,testing,1345
22/3/2020,tested,1403
22/3/2020,test,1289
22/3/2020,state,1381
22/3/2020,right,1928
22/3/2020,news,1160
22/3/2020,government,1536
22/3/2020,@realDonaldTrump,2254
23/3/2020,world,1351
23/3/2020,US,810
23/3/2020,Trump,1045
23/3/2020,testing,608
23/3/2020,tested,537
23/3/2020,test,612
23/3/2020,state,633
23/3/2020,right,1187
23/3/2020,news,705
23/3/2020,government,898
23/3/2020,@realDonaldTrump,1265
24/3/2020,world,2744
24/3/2020,US,1809
24/3/2020,Trump,2470
24/3/2020,testing,1336
24/3/2020,tested,1111
24/3/2020,test,1169
24/3/2020,state,1391
24/3/2020,right,2722
24/3/2020,news,1606
24/3/2020,government,1891
24/3/2020,@realDonaldTrump,2956
17/3/2020,world,2151
17/3/2020,US,1469
17/3/2020,Trump,1538
17/3/2020,testing,1413
17/3/2020,tested,1116
17/3/2020,test,1234
17/3/2020,state,874
17/3/2020,right,1880
17/3/2020,news,1252
17/3/2020,government,1555
17/3/2020,@realDonaldTrump,1953
18/3/2020,world,1942
18/3/2020,US,1245
18/3/2020,Trump,1299
18/3/2020,testing,1207
18/3/2020,tested,871
18/3/2020,test,985
18/3/2020,state,768
18/3/2020,right,1834
18/3/2020,news,1256
18/3/2020,government,1336
18/3/2020,@realDonaldTrump,1956
19/3/2020,world,1938
19/3/2020,US,1233
19/3/2020,Trump,1287
19/3/2020,testing,1098
19/3/2020,tested,911
19/3/2020,test,937
19/3/2020,state,811
19/3/2020,right,1645
19/3/2020,news,1217
19/3/2020,government,1205
19/3/2020,@realDonaldTrump,1601
20/3/2020,world,1749
20/3/2020,US,1091
20/3/2020,Trump,1409
20/3/2020,testing,997
20/3/2020,tested,877
20/3/2020,test,816
20/3/2020,state,866
20/3/2020,right,1462
20/3/2020,news,967
20/3/2020,government,1205
20/3/2020,@realDonaldTrump,1485
21/3/2020,world,1439
21/3/2020,US,1029
21/3/2020,Trump,1242
21/3/2020,testing,885
21/3/2020,tested,725
21/3/2020,test,900
21/3/2020,state,637
21/3/2020,right,1191
21/3/2020,news,848
21/3/2020,government,931
21/3/2020,@realDonaldTrump,1329
22/3/2020,world,1239
22/3/2020,US,871
22/3/2020,Trump,1251
22/3/2020,testing,710
22/3/2020,tested,877
22/3/2020,test,829
22/3/2020,state,827
22/3/2020,right,1044
22/3/2020,news,644
22/3/2020,government,833
22/3/2020,@realDonaldTrump,1530
23/3/2020,world,2249
23/3/2020,US,1413
23/3/2020,Trump,1782
23/3/2020,testing,1109
23/3/2020,tested,988
23/3/2020,test,1044
23/3/2020,state,1088
23/3/2020,right,1892
23/3/2020,news,1159
23/3/2020,government,1531
23/3/2020,@realDonaldTrump,2353
24/3/2020,world,1653
24/3/2020,US,933
24/3/2020,Trump,1320
24/3/2020,testing,737
24/3/2020,tested,647
24/3/2020,test,688
24/3/2020,state,783
24/3/2020,right,1384
24/3/2020,news,939
24/3/2020,government,1204
24/3/2020,@realDonaldTrump,1812
17/3/2020,world,1394
17/3/2020,US,944
17/3/2020,Trump,1044
17/3/2020,testing,898
17/3/2020,tested,762
17/3/2020,test,812
17/3/2020,state,705
17/3/2020,right,1294
17/3/2020,news,932
17/3/2020,government,1250
17/3/2020,@realDonaldTrump,1201
18/3/2020,world,1411
18/3/2020,US,879
18/3/2020,Trump,1128
18/3/2020,testing,783
18/3/2020,tested,668
18/3/2020,test,680
18/3/2020,state,576
18/3/2020,right,1188
18/3/2020,news,878
18/3/2020,government,918
18/3/2020,@realDonaldTrump,1600
19/3/2020,world,1733
19/3/2020,US,984
19/3/2020,Trump,1109
19/3/2020,testing,924
19/3/2020,tested,794
19/3/2020,test,802
19/3/2020,state,660
19/3/2020,right,1429
19/3/2020,news,1068
19/3/2020,government,1037
19/3/2020,@realDonaldTrump,1286
20/3/2020,world,1224
20/3/2020,US,826
20/3/2020,Trump,1366
20/3/2020,testing,794
20/3/2020,tested,567
20/3/2020,test,607
20/3/2020,state,689
20/3/2020,right,1247
20/3/2020,news,798
20/3/2020,government,881
20/3/2020,@realDonaldTrump,1380
21/3/2020,world,1448
21/3/2020,US,947
21/3/2020,Trump,1456
21/3/2020,testing,843
21/3/2020,tested,759
21/3/2020,test,995
21/3/2020,state,643
21/3/2020,right,1191
21/3/2020,news,854
21/3/2020,government,867
21/3/2020,@realDonaldTrump,1480
22/3/2020,world,880
22/3/2020,US,564
22/3/2020,Trump,608
22/3/2020,testing,416
22/3/2020,tested,412
22/3/2020,test,419
22/3/2020,state,471
22/3/2020,right,650
22/3/2020,news,387
22/3/2020,government,605
22/3/2020,@realDonaldTrump,766
23/3/2020,world,1105
23/3/2020,US,632
23/3/2020,Trump,625
23/3/2020,testing,572
23/3/2020,tested,499
23/3/2020,test,497
23/3/2020,state,511
23/3/2020,right,926
23/3/2020,news,591
23/3/2020,government,737
23/3/2020,@realDonaldTrump,938
24/3/2020,world,1072
24/3/2020,US,694
24/3/2020,Trump,961
24/3/2020,testing,450
24/3/2020,tested,368
24/3/2020,test,453
24/3/2020,state,551
24/3/2020,right,977
24/3/2020,news,614
24/3/2020,government,768
24/3/2020,@realDonaldTrump,1278
25/3/2020,@realDonaldTrump,5893
25/3/2020,app,3902
25/3/2020,government,3598
25/3/2020,news,3549
25/3/2020,right,4452
25/3/2020,state,2861
25/3/2020,test,3645
25/3/2020,tested,3578
25/3/2020,testing,3084
25/3/2020,Trump,4597
25/3/2020,US,4117
25/3/2020,world,5737
26/3/2020,@realDonaldTrump,5560
26/3/2020,app,1435
26/3/2020,government,3022
26/3/2020,news,2833
26/3/2020,right,3847
26/3/2020,state,2452
26/3/2020,test,3356
26/3/2020,tested,1968
26/3/2020,testing,2701
26/3/2020,Trump,4016
26/3/2020,US,4432
26/3/2020,world,6257
27/3/2020,@realDonaldTrump,8816
27/3/2020,government,4882
27/3/2020,news,4688
27/3/2020,right,5489
27/3/2020,state,3581
27/3/2020,test,3782
27/3/2020,tested,5498
27/3/2020,testing,4018
27/3/2020,tests,3799
27/3/2020,Trump,7060
27/3/2020,US,11066
27/3/2020,US-Saudi,5485
27/3/2020,world,12275
28/3/2020,@realDonaldTrump,3441
28/3/2020,Act,492
28/3/2020,government,2098
28/3/2020,news,2149
28/3/2020,officials,748
28/3/2020,right,2427
28/3/2020,signing,470
28/3/2020,state,2138
28/3/2020,test,1936
28/3/2020,tested,1732
28/3/2020,testing,1933
28/3/2020,Trump,2780
28/3/2020,US,2422
28/3/2020,world,3930
29/3/2020,@realDonaldTrump,3979
29/3/2020,Act,2767
29/3/2020,government,1662
29/3/2020,news,1838
29/3/2020,officials,3057
29/3/2020,right,2118
29/3/2020,signing,2733
29/3/2020,state,1570
29/3/2020,test,1455
29/3/2020,tested,1348
29/3/2020,testing,1886
29/3/2020,Trump,3553
29/3/2020,US,2387
29/3/2020,world,3232
30/3/2020,@realDonaldTrump,3446
30/3/2020,Act,6620
30/3/2020,government,2122
30/3/2020,news,2416
30/3/2020,officials,6725
30/3/2020,right,2504
30/3/2020,signing,6298
30/3/2020,state,1893
30/3/2020,test,1548
30/3/2020,tested,1512
30/3/2020,testing,1766
30/3/2020,Trump,3097
30/3/2020,US,2407
30/3/2020,world,2839
31/3/2020,@realDonaldTrump,1857
31/3/2020,Act,802
31/3/2020,government,1739
31/3/2020,news,1588
31/3/2020,officials,862
31/3/2020,right,1774
31/3/2020,signing,550
31/3/2020,state,1308
31/3/2020,test,1260
31/3/2020,tested,1388
31/3/2020,testing,1602
31/3/2020,Trump,1591
31/3/2020,US,1672
31/3/2020,world,2477
1/4/2020,@realDonaldTrump,6920
1/4/2020,free,3612
1/4/2020,government,6660
1/4/2020,news,6750
1/4/2020,right,5764
1/4/2020,Sign,3837
1/4/2020,state,5127
1/4/2020,test,3445
1/4/2020,testing,4677
1/4/2020,Trump,7269
1/4/2020,World,8810
2/4/2020,@realDonaldTrump,6120
2/4/2020,free,3897
2/4/2020,Government,6913
2/4/2020,News,7311
2/4/2020,right,5741
2/4/2020,SIGN,4466
2/4/2020,State,4998
2/4/2020,test,3891
2/4/2020,testing,5059
2/4/2020,Trump,6093
2/4/2020,World,10097
3/4/2020,@realDonaldTrump,6497
3/4/2020,free,3857
3/4/2020,government,5977
3/4/2020,news,6231
3/4/2020,right,5578
3/4/2020,sign,3397
3/4/2020,State,5020
3/4/2020,test,3720
3/4/2020,testing,4479
3/4/2020,Trump,6442
3/4/2020,world,9956
4/4/2020,world,8439
4/4/2020,Trump,7059
4/4/2020,testing,4018
4/4/2020,tested,2801
4/4/2020,test,3431
4/4/2020,State,4154
4/4/2020,right,5088
4/4/2020,president,3080
4/4/2020,News,5455
4/4/2020,Government,4916
4/4/2020,free,2880
4/4/2020,@realDonaldTrump,7410
5/4/2020,world,7770
5/4/2020,Trump,5700
5/4/2020,testing,3600
5/4/2020,tested,2688
5/4/2020,Test,2570
5/4/2020,state,3558
5/4/2020,right,4840
5/4/2020,president,2616
5/4/2020,NEWS,4944
5/4/2020,government,4276
5/4/2020,free,2571
5/4/2020,@realDonaldTrump,5980
6/4/2020,World,5542
6/4/2020,Trump,3672
6/4/2020,test,2015
6/4/2020,state,1539
6/4/2020,sir,3044
6/4/2020,right,2713
6/4/2020,News,4118
6/4/2020,media,1630
6/4/2020,kill,1448
6/4/2020,govt,1730
6/4/2020,government,2523
6/4/2020,@realDonaldTrump,2974
7/4/2020,world,4189
7/4/2020,trump,2629
7/4/2020,test,1148
7/4/2020,State,1091
7/4/2020,Sir,2079
7/4/2020,Right,2095
7/4/2020,news,2442
7/4/2020,Media,1046
7/4/2020,kill,1307
7/4/2020,govt,1165
7/4/2020,Government,1613
7/4/2020,@realDonaldTrump,2213
8/4/2020,world,5214
8/4/2020,united,1859
8/4/2020,Trump,3598
8/4/2020,test,1537
8/4/2020,state,1470
8/4/2020,Sir,2636
8/4/2020,salute,1670
8/4/2020,Right,2593
8/4/2020,News,2983
8/4/2020,Minister,1884
8/4/2020,media,1467
8/4/2020,govt,1679
8/4/2020,Government,2417
8/4/2020,free,1587
8/4/2020,@realDonaldTrump,3259
9/4/2020,World,3705
9/4/2020,trump,1779
9/4/2020,test,1194
9/4/2020,state,1348
9/4/2020,sir,2000
9/4/2020,right,1982
9/4/2020,news,2479
9/4/2020,govt,1238
9/4/2020,Government,2090
9/4/2020,free,1265
9/4/2020,@realdonaldtrump,1899
10/4/2020,world,5250
10/4/2020,Trump,2559
10/4/2020,test,1530
10/4/2020,state,1909
10/4/2020,sir,2831
10/4/2020,right,2540
10/4/2020,police,1113
10/4/2020,news,2784
10/4/2020,MEDIA,1401
10/4/2020,Govt,1970
10/4/2020,government,2434
10/4/2020,free,1518
10/4/2020,@realDonaldTrump,2628
11/4/2020,world,4416
11/4/2020,Trump,2110
11/4/2020,test,1014
11/4/2020,state,1487
