created_at,TextPivot,Number of Records
09/03/2020,impact,151
09/03/2020,home,120
09/03/2020,help,113
09/03/2020,health,160
09/03/2020,government,112
09/03/2020,good,99
09/03/2020,global,149
09/03/2020,economy,695
09/03/2020,economic,67
09/03/2020,debt,12
09/03/2020,crisis,78
09/03/2020,country,65
09/03/2020,China,93
09/03/2020,care,55
09/03/2020,businesses,63
09/03/2020,business,447
09/03/2020,#economy,172
09/03/2020,#business,56
09/03/2020,@realDonaldTrump,182
10/03/2020,world,92
10/03/2020,working,75
10/03/2020,workers,87
10/03/2020,work,187
10/03/2020,virus,147
10/03/2020,US,104
10/03/2020,Trump,220
10/03/2020,today,42
10/03/2020,time,152
10/03/2020,support,54
10/03/2020,small,40
10/03/2020,save,50
10/03/2020,right,78
10/03/2020,response,90
10/03/2020,rent,39
10/03/2020,public,90
10/03/2020,paying,119
10/03/2020,pay,477
10/03/2020,pandemic,92
10/03/2020,package,14
10/03/2020,open,33
10/03/2020,new,64
10/03/2020,needed,17
10/03/2020,money,650
10/03/2020,million,13
10/03/2020,lost,21
10/03/2020,lockdown,14
10/03/2020,lives,52
10/03/2020,latest,48
10/03/2020,jobs,82
10/03/2020,income,91
10/03/2020,impact,115
10/03/2020,home,131
10/03/2020,help,154
10/03/2020,health,167
10/03/2020,government,104
10/03/2020,good,111
10/03/2020,global,100
10/03/2020,economy,522
10/03/2020,economic,83
10/03/2020,debt,9
10/03/2020,crisis,85
10/03/2020,country,73
10/03/2020,China,96
10/03/2020,care,94
10/03/2020,businesses,85
10/03/2020,business,551
10/03/2020,#economy,119
10/03/2020,#business,80
10/03/2020,@realDonaldTrump,173
11/03/2020,world,132
11/03/2020,working,67
11/03/2020,workers,125
11/03/2020,work,181
11/03/2020,virus,205
11/03/2020,US,128
11/03/2020,Trump,150
11/03/2020,today,94
11/03/2020,time,204
11/03/2020,support,96
11/03/2020,small,85
11/03/2020,save,52
11/03/2020,right,98
11/03/2020,response,80
11/03/2020,rent,35
11/03/2020,public,101
11/03/2020,paying,103
11/03/2020,pay,563
11/03/2020,pandemic,119
11/03/2020,package,42
11/03/2020,open,22
11/03/2020,new,83
11/03/2020,needed,49
11/03/2020,money,775
11/03/2020,million,51
11/03/2020,lost,35
11/03/2020,lockdown,11
11/03/2020,lives,69
11/03/2020,latest,73
11/03/2020,jobs,168
11/03/2020,income,73
11/03/2020,impact,203
11/03/2020,home,140
11/03/2020,help,207
11/03/2020,health,173
11/03/2020,government,126
11/03/2020,good,121
11/03/2020,global,114
11/03/2020,economy,732
11/03/2020,economic,103
11/03/2020,debt,15
11/03/2020,crisis,97
11/03/2020,country,82
11/03/2020,China,112
11/03/2020,care,108
11/03/2020,businesses,127
11/03/2020,business,816
11/03/2020,#economy,118
11/03/2020,#business,101
11/03/2020,@realDonaldTrump,147
12/03/2020,world,132
12/03/2020,working,90
12/03/2020,workers,165
12/03/2020,work,326
12/03/2020,virus,216
12/03/2020,US,132
12/03/2020,Trump,222
12/03/2020,today,74
12/03/2020,time,256
12/03/2020,support,95
12/03/2020,small,80
12/03/2020,save,83
12/03/2020,right,125
12/03/2020,response,86
12/03/2020,rent,90
12/03/2020,public,122
12/03/2020,paying,169
12/03/2020,pay,727
12/03/2020,pandemic,133
12/03/2020,package,39
12/03/2020,open,41
12/03/2020,new,62
12/03/2020,needed,54
12/03/2020,money,858
12/03/2020,million,31
12/03/2020,lost,51
12/03/2020,lockdown,18
12/03/2020,lives,68
12/03/2020,latest,63
12/03/2020,jobs,197
12/03/2020,income,122
12/03/2020,impact,162
12/03/2020,home,219
12/03/2020,help,226
12/03/2020,health,278
12/03/2020,government,180
12/03/2020,good,110
12/03/2020,global,101
12/03/2020,economy,730
12/03/2020,economic,117
