created_at,TextPivot,Count of Number of Records
19/3/2020,home,1835
19/3/2020,colleagues,266
20/3/2020,working,1765
20/3/2020,workers,1664
20/3/2020,work,2827
20/3/2020,public,1567
20/3/2020,home,4031
20/3/2020,colleagues,576
21/3/2020,working,544
21/3/2020,workers,578
21/3/2020,work,925
21/3/2020,public,578
21/3/2020,home,1717
21/3/2020,colleagues,535
22/3/2020,working,1419
22/3/2020,workers,1868
22/3/2020,work,2008
22/3/2020,public,1227
22/3/2020,home,3924
22/3/2020,colleagues,5487
23/3/2020,working,906
23/3/2020,workers,923
23/3/2020,work,1613
23/3/2020,public,766
23/3/2020,home,2545
23/3/2020,colleagues,1292
24/3/2020,working,2188
24/3/2020,workers,2161
24/3/2020,work,3720
24/3/2020,public,1552
24/3/2020,home,4820
24/3/2020,colleagues,676
17/3/2020,working,1493
17/3/2020,workers,1107
17/3/2020,work,2711
17/3/2020,public,1331
17/3/2020,home,3294
17/3/2020,colleagues,1030
18/3/2020,working,1433
18/3/2020,workers,1066
18/3/2020,work,2407
18/3/2020,public,1141
18/3/2020,home,3106
18/3/2020,colleagues,564
19/3/2020,working,1383
19/3/2020,workers,1105
19/3/2020,work,2178
19/3/2020,public,1088
19/3/2020,home,2975
19/3/2020,colleagues,385
20/3/2020,working,1216
20/3/2020,workers,1216
20/3/2020,work,2142
20/3/2020,public,1104
20/3/2020,home,2955
20/3/2020,colleagues,474
21/3/2020,working,772
21/3/2020,workers,899
21/3/2020,work,1351
21/3/2020,public,828
21/3/2020,home,2353
21/3/2020,colleagues,1402
22/3/2020,working,666
22/3/2020,workers,1089
22/3/2020,work,1109
22/3/2020,public,644
22/3/2020,home,2189
22/3/2020,colleagues,2623
23/3/2020,working,1548
23/3/2020,workers,1643
23/3/2020,work,2729
23/3/2020,public,1372
23/3/2020,home,4104
23/3/2020,colleagues,1875
24/3/2020,working,1119
24/3/2020,workers,1257
24/3/2020,work,2066
24/3/2020,public,855
24/3/2020,home,2881
24/3/2020,colleagues,486
17/3/2020,working,1117
17/3/2020,workers,760
17/3/2020,work,1799
17/3/2020,public,950
17/3/2020,home,2320
17/3/2020,colleagues,694
18/3/2020,working,942
18/3/2020,workers,661
18/3/2020,work,1563
18/3/2020,public,771
18/3/2020,home,2097
18/3/2020,colleagues,358
19/3/2020,working,1246
19/3/2020,workers,956
19/3/2020,work,1964
19/3/2020,public,984
19/3/2020,home,2726
19/3/2020,colleagues,344
20/3/2020,working,930
20/3/2020,workers,907
20/3/2020,work,1517
20/3/2020,public,791
20/3/2020,home,2062
20/3/2020,colleagues,273
21/3/2020,working,817
21/3/2020,workers,920
21/3/2020,work,1305
21/3/2020,public,734
21/3/2020,home,2237
21/3/2020,colleagues,1057
