created_at,TextPivot,Count of Number of Records
07-03-2020,Health,840
07-03-2020,hands,1495
07-03-2020,hand,1148
07-03-2020,government,958
07-03-2020,good,1421
07-03-2020,global,552
07-03-2020,getting,871
07-03-2020,flu,1101
07-03-2020,does,877
07-03-2020,deaths,1126
07-03-2020,death,1051
07-03-2020,crisis,656
07-03-2020,country,1146
07-03-2020,countries,890
07-03-2020,confirmed,1692
07-03-2020,China,1625
07-03-2020,cases,4431
07-03-2020,case,1581
07-03-2020,care,981
07-03-2020,better,701
07-03-2020,best,661
07-03-2020,@realDonaldTrump,1600
08-03-2020,world,1351
08-03-2020,work,1080
08-03-2020,week,736
08-03-2020,wash,711
08-03-2020,virus,2562
08-03-2020,US,2074
08-03-2020,UK,638
08-03-2020,U,655
08-03-2020,Trump,2182
08-03-2020,travel,856
08-03-2020,toilet,1343
08-03-2020,today,810
08-03-2020,time,1815
08-03-2020,thread,1707
08-03-2020,thing,823
08-03-2020,Thanks,1041
08-03-2020,testing,1174
08-03-2020,tested,1064
08-03-2020,test,1241
08-03-2020,stop,1015
08-03-2020,stay,630
08-03-2020,state,944
08-03-2020,spread,1984
08-03-2020,sick,882
08-03-2020,safe,541
08-03-2020,risk,968
08-03-2020,right,995
08-03-2020,response,818
08-03-2020,really,1069
08-03-2020,read,1061
08-03-2020,rate,659
08-03-2020,quarantine,1015
08-03-2020,public,1240
08-03-2020,protect,547
08-03-2020,positive,1146
08-03-2020,Please,699
08-03-2020,patients,739
08-03-2020,paper,1037
08-03-2020,panic,1024
08-03-2020,pandemic,603
08-03-2020,outbreak,1545
08-03-2020,number,839
08-03-2020,Not,727
08-03-2020,news,898
08-03-2020,new,2052
08-03-2020,media,721
08-03-2020,latest,1482
08-03-2020,Italy,2216
08-03-2020,information,685
08-03-2020,infected,1018
08-03-2020,home,1138
08-03-2020,help,1073
08-03-2020,health,2015
08-03-2020,Health,742
08-03-2020,hands,1490
08-03-2020,hand,1064
08-03-2020,government,992
08-03-2020,good,1442
08-03-2020,global,466
08-03-2020,getting,737
08-03-2020,flu,838
08-03-2020,does,736
08-03-2020,deaths,1078
08-03-2020,death,993
08-03-2020,crisis,711
08-03-2020,country,1107
08-03-2020,countries,783
08-03-2020,confirmed,1307
08-03-2020,China,1676
08-03-2020,cases,4241
08-03-2020,case,1404
08-03-2020,care,1132
08-03-2020,better,721
08-03-2020,best,710
08-03-2020,@realDonaldTrump,2424
09-03-2020,world,2280
09-03-2020,work,2340
09-03-2020,week,1403
09-03-2020,wash,1040
09-03-2020,virus,4646
09-03-2020,US,2417
09-03-2020,UK,1291
09-03-2020,U,1129
09-03-2020,Trump,3977
09-03-2020,travel,1460
09-03-2020,toilet,1436
09-03-2020,today,2039
09-03-2020,time,3462
09-03-2020,thread,1421
09-03-2020,thing,1397
09-03-2020,Thanks,1423
09-03-2020,testing,1652
09-03-2020,tested,2022
09-03-2020,test,1678
09-03-2020,stop,1805
09-03-2020,stay,1454
09-03-2020,state,1246
09-03-2020,spread,3306
09-03-2020,sick,1550
09-03-2020,safe,1418
09-03-2020,risk,1404
09-03-2020,right,1904
09-03-2020,response,1539
09-03-2020,really,1842
09-03-2020,read,1358
09-03-2020,rate,1083
09-03-2020,quarantine,1609
09-03-2020,public,1997
09-03-2020,protect,1233
09-03-2020,positive,2034
09-03-2020,Please,1351
09-03-2020,patients,1010
09-03-2020,paper,1122
09-03-2020,panic,1722
09-03-2020,pandemic,1610
09-03-2020,outbreak,2552
09-03-2020,number,1280
09-03-2020,Not,1275
09-03-2020,news,1721
09-03-2020,new,3300
09-03-2020,media,1415
09-03-2020,latest,2153
09-03-2020,Italy,3369
09-03-2020,information,1242
09-03-2020,infected,1565
09-03-2020,home,2328
09-03-2020,help,2289
09-03-2020,health,3311
09-03-2020,Health,1403
09-03-2020,hands,2600
09-03-2020,hand,1652
09-03-2020,government,1702
09-03-2020,good,2357
09-03-2020,global,1149
09-03-2020,getting,1524
09-03-2020,flu,2052
09-03-2020,does,1353
09-03-2020,deaths,1596
09-03-2020,death,1273
09-03-2020,crisis,1264
09-03-2020,country,2245
09-03-2020,countries,1399
09-03-2020,confirmed,2224
09-03-2020,China,2276
09-03-2020,cases,6842
09-03-2020,case,1937
09-03-2020,care,1590
09-03-2020,better,1241
09-03-2020,best,1112
09-03-2020,@realDonaldTrump,5088
10-03-2020,world,2362
10-03-2020,work,2702
10-03-2020,week,1323
10-03-2020,wash,1083
10-03-2020,virus,4870
10-03-2020,US,2480
10-03-2020,UK,1374
10-03-2020,U,1092
10-03-2020,Trump,3325
10-03-2020,travel,1487
10-03-2020,toilet,1373
10-03-2020,today,1925
10-03-2020,time,3695
10-03-2020,thread,1644
10-03-2020,thing,1486
10-03-2020,Thanks,1677
10-03-2020,testing,1993
10-03-2020,tested,2130
10-03-2020,test,1677
10-03-2020,stop,1999
10-03-2020,stay,1538
10-03-2020,state,1546
10-03-2020,spread,4072
10-03-2020,sick,1739
10-03-2020,safe,1296
10-03-2020,risk,1621
10-03-2020,right,2017
10-03-2020,response,1765
10-03-2020,really,1935
10-03-2020,read,1677
10-03-2020,rate,1010
10-03-2020,quarantine,1240
10-03-2020,public,2467
10-03-2020,protect,1318
10-03-2020,positive,1971
10-03-2020,Please,1607
10-03-2020,patients,1253
10-03-2020,paper,1219
10-03-2020,panic,1548
10-03-2020,pandemic,1379
10-03-2020,outbreak,3009
10-03-2020,number,1335
10-03-2020,Not,1242
10-03-2020,news,1896
10-03-2020,new,3487
10-03-2020,media,1453
10-03-2020,latest,2510
10-03-2020,Italy,4367
10-03-2020,information,1424
10-03-2020,infected,1545
10-03-2020,home,2736
10-03-2020,help,2644
10-03-2020,health,3770
10-03-2020,Health,1642
10-03-2020,hands,2441
10-03-2020,hand,1719
10-03-2020,government,1719
10-03-2020,good,2326
10-03-2020,global,1003
10-03-2020,getting,1630
10-03-2020,flu,1904
10-03-2020,does,1366
10-03-2020,deaths,1600
10-03-2020,death,1261
10-03-2020,crisis,1265
10-03-2020,country,2278
10-03-2020,countries,1223
10-03-2020,confirmed,2261
10-03-2020,China,2550
10-03-2020,cases,6720
10-03-2020,case,2051
10-03-2020,care,1797
10-03-2020,better,1311
10-03-2020,best,1521
10-03-2020,@realDonaldTrump,3501
03-03-2020,world,226
03-03-2020,work,240
03-03-2020,weeks,125
03-03-2020,wash,163
03-03-2020,virus,472
03-03-2020,US,318
03-03-2020,UK,93
03-03-2020,Trump,400
03-03-2020,travel,165
03-03-2020,toilet,61
03-03-2020,today,234
03-03-2020,time,345
03-03-2020,thread,85
03-03-2020,Thanks,156
03-03-2020,testing,220
03-03-2020,tested,194
03-03-2020,test,181
03-03-2020,stop,201
03-03-2020,stay,112
03-03-2020,state,227
03-03-2020,spreading,167
03-03-2020,spread,383
03-03-2020,sick,209
03-03-2020,safe,99
03-03-2020,risk,178
03-03-2020,right,193
03-03-2020,response,184
03-03-2020,really,177
03-03-2020,read,104
03-03-2020,rate,259
03-03-2020,quarantine,74
03-03-2020,public,218
03-03-2020,protect,106
03-03-2020,positive,127
03-03-2020,Please,124
03-03-2020,patients,142
03-03-2020,paper,76
03-03-2020,panic,140
03-03-2020,pandemic,124
03-03-2020,outbreak,439
03-03-2020,number,130
03-03-2020,news,202
03-03-2020,new,288
03-03-2020,medical,115
03-03-2020,media,126
03-03-2020,March,111
03-03-2020,latest,247
03-03-2020,Italy,147
03-03-2020,information,167
03-03-2020,infected,148
03-03-2020,home,243
03-03-2020,help,254
03-03-2020,health,384
03-03-2020,Health,205
03-03-2020,hands,400
03-03-2020,hand,210
03-03-2020,government,178
03-03-2020,good,229
03-03-2020,global,136
03-03-2020,getting,150
03-03-2020,flu,221
03-03-2020,face,111
03-03-2020,deaths,228
03-03-2020,death,263
03-03-2020,crisis,105
03-03-2020,country,163
03-03-2020,countries,140
03-03-2020,confirmed,245
03-03-2020,China,266
03-03-2020,cases,540
03-03-2020,case,441
03-03-2020,care,196
03-03-2020,better,123
03-03-2020,best,105
03-03-2020,@realDonaldTrump,351
04-03-2020,world,1118
04-03-2020,work,1032
04-03-2020,weeks,464
04-03-2020,wash,621
04-03-2020,virus,2198
04-03-2020,US,1007
04-03-2020,UK,657
04-03-2020,Trump,1003
04-03-2020,travel,688
04-03-2020,toilet,541
04-03-2020,today,799
04-03-2020,time,1327
04-03-2020,thread,311
04-03-2020,Thanks,810
04-03-2020,testing,766
04-03-2020,tested,768
04-03-2020,test,767
04-03-2020,stop,747
04-03-2020,stay,558
04-03-2020,state,571
04-03-2020,spreading,625
04-03-2020,spread,2082
04-03-2020,sick,708
04-03-2020,safe,595
04-03-2020,risk,783
04-03-2020,right,671
04-03-2020,response,696
04-03-2020,really,639
04-03-2020,read,400
04-03-2020,rate,1190
04-03-2020,quarantine,412
04-03-2020,public,945
04-03-2020,protect,565
04-03-2020,positive,911
04-03-2020,Please,541
04-03-2020,patients,579
04-03-2020,paper,540
04-03-2020,panic,710
04-03-2020,pandemic,471
04-03-2020,outbreak,1719
04-03-2020,number,703
04-03-2020,news,764
04-03-2020,new,1767
04-03-2020,medical,543
04-03-2020,media,501
04-03-2020,March,521
04-03-2020,latest,1280
04-03-2020,Italy,823
04-03-2020,information,679
04-03-2020,infected,801
04-03-2020,home,913
04-03-2020,help,1088
04-03-2020,health,1539
04-03-2020,Health,878
04-03-2020,hands,1424
04-03-2020,hand,745
04-03-2020,government,765
04-03-2020,good,949
04-03-2020,global,1044
04-03-2020,getting,601
04-03-2020,flu,760
04-03-2020,face,580
04-03-2020,deaths,651
04-03-2020,death,1261
04-03-2020,crisis,389
04-03-2020,country,824
04-03-2020,countries,727
